title,link,subtitle,price,area,property_details,city,location,first_image_url,latitude,longitude,price_per_sqft
2 BHK Flat for rent in Ahmamau,,Chandra Panorama,35000,1450.0,Fully furnished,Lucknow,Ahmamau,https://housing-images.n7net.in/01c16c28/3ee2f8282010fba0a540d9bf13f50b5d/v0/large/2_bhk_apartment-for-rent-ahmamau-Lucknow-hall.jpg,26.8010161,81.004746,24.137931034482758
4 BHK Flat for rent in Gomti Nagar Extension,,Rohtas Presidential Tower,65000,2300.0,Fully furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/7f2b767cd33ea871c00e35defec60b5d/v0/large/4_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,28.26086956521739
3 BHK Flat for rent in Arjunganj,,Omaxe Residency,50000,1550.0,Fully furnished,Lucknow,Arjunganj,https://housing-images.n7net.in/01c16c28/4526ac2ad2acdcbc6aef5bcce238f3e4/v0/large/3_bhk_apartment-for-rent-arjunganj-Lucknow-hall.jpg,26.8090913,80.9899168,32.25806451612903
7 BHK Independent House for rent in Gomti Nagar,,Not Found,160000,4500.0,Fully furnished,Lucknow,Gomti Nagar,https://housing-images.n7net.in/01c16c28/3b1024e7be24e3f4f8bd37e71776bb82/v0/large/7_bhk_independent_house-for-rent-gomti_nagar_1-Lucknow-bedroom.jpg,26.8605833,81.0029055,35.55555555555556
3 BHK Flat for rent in Gomti Nagar Extension,,Rohtas Plumeria Homes,55000,1800.0,Fully furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/5bf7aaaaea48ad3e76278db0bcb45d9d/v0/large/3_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,30.555555555555557
3 BHK Independent House for rent in Ashiyana,,Not Found,22000,1935.0,Un-furnished,Lucknow,Ashiyana,https://housing-images.n7net.in/01c16c28/488f7e8b84bd1e7f2464d27d089539b7/v0/large/3_bhk_independent_house-for-rent-ashiyana-Lucknow-living_room.jpg,26.8668883,80.9106565,11.369509043927648
2 BHK Flat for rent in Sushant Golf City,,Okas Residency,18000,1167.0,Semi furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/11198dacbb9c82c8aaa40c73ed7d5f58/v0/large/2_bhk_apartment-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,15.424164524421593
2 BHK Flat for rent in Chinhat,,Surya Square Apartments,18000,1200.0,Semi furnished,Lucknow,Chinhat,https://housing-images.n7net.in/01c16c28/3d6bc6a0c12e1966280882c00354ecc4/v0/large/2_bhk_apartment-for-rent-chinhat-Lucknow-bedroom.jpg,26.8751435,81.0355588,15.0
2 BHK Flat for rent in Vrindavan Yojana,,Arsha Sumangalam,21000,1100.0,Fully furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/8f0136d6dc026f728c65d6409c037fbd/v0/large/2_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,19.09090909090909
4 BHK Villa for rent in Sushant Golf City,,Ansal Ansal API Sushant Golf City Charmwood Villa II,35000,3200.0,Semi furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/856df79f103bd01051f543405e0ea05a/v0/large/4_bhk_villa-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,10.9375
3 BHK Independent Builder Floor for rent in South City,,Not Found,23000,2100.0,Semi furnished,Lucknow,South City,https://housing-images.n7net.in/01c16c28/02c0788136a056fd549f14d2b294a273/v0/large/3_bhk_independent_builder_floor-for-rent-south_city_lucknow-Lucknow-hall.jpg,,,10.952380952380953
2 BHK Flat for rent in Sushant Golf City,,Not Found,11000,1100.0,Un-furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/56760a385cccf5631cf7b45531f76b78/v0/large/2_bhk_apartment-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,10.0
2 BHK Independent Builder Floor for rent in Indira Nagar,,Manas Enclave Phase 2,15000,1100.0,Semi furnished,Lucknow,Indira Nagar,https://housing-images.n7net.in/01c16c28/24b592e4907a51ffc5f17e78e182cb14/v0/large/2_bhk_independent_builder_floor-for-rent-indira_nagar_5-Lucknow-hall.jpg,26.8823182,80.9900344,13.636363636363637
3 BHK Flat for rent in Vrindavan Yojana,,Arsha Sumangalam,25000,1600.0,Fully furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/b3da216cc0f04d60b3967b157ebe363b/v0/large/3_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-bedroom.jpg,,,15.625
3.5 BHK Flat for rent in Vrindavan Yojana,,AKASH ENCLAVE,35000,1950.0,Fully furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/b4aaed97b11a03efdac9e24807391e68/v0/large/3.5_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,17.94871794871795
2 BHK Flat for rent in Mahanagar,,Shalimar Gallant,45000,1450.0,Fully furnished,Lucknow,Mahanagar,https://housing-images.n7net.in/01c16c28/236dbd4d947385d07beb87407524a8a5/v0/large/2_bhk_apartment-for-rent-mahanagar-Lucknow-hall.jpg,26.8829,80.9469,31.03448275862069
2 BHK Independent Builder Floor for rent in Gomti Nagar,,Not Found,12000,900.0,Fully furnished,Lucknow,Gomti Nagar,https://housing-images.n7net.in/01c16c28/5140b73ea4ef22f2d56a1bb6294fba2d/v0/large/2_bhk_independent_builder_floor-for-rent-gomti_nagar_1-Lucknow-bedroom.jpg,26.8605833,81.0029055,13.333333333333334
2 BHK Flat for rent in Sevai,,R R Celebrity Gardens Block R,16000,1215.0,Semi furnished,Lucknow,Sevai,https://housing-images.n7net.in/01c16c28/dfcf5c8c8aa8924ab42d5ad3a4ff77a7/v0/large/2_bhk_apartment-for-rent-sevai-Lucknow-hall.jpg,,,13.168724279835391
3.5 BHK Flat for rent in Vrindavan Yojana,,Not Found,35000,1610.0,Fully furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/b4aaed97b11a03efdac9e24807391e68/v0/large/3.5_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,21.73913043478261
1 BHK Independent Builder Floor for rent in Ashiyana,,Not Found,14000,1250.0,Fully furnished,Lucknow,Ashiyana,https://housing-images.n7net.in/01c16c28/98382de67e54a5c48aadfd25428c612c/v0/large/1_bhk_independent_builder_floor-for-rent-ashiyana-Lucknow-hall.jpg,26.8668883,80.9106565,11.2
3 BHK Flat for rent in Jankipuram,,AT Dreams T Rose Tower,18000,1800.0,Semi furnished,Lucknow,Jankipuram,https://housing-images.n7net.in/01c16c28/3ce2004bf67b546b69e5ff40efdf22c7/v0/large/3_bhk_apartment-for-rent-jankipuram-Lucknow-hall.jpg,26.9326839,80.9396394,10.0
2 BHK Flat for rent in Sushant Golf City,,Not Found,15000,1080.0,Semi furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/fd0d61f845dac79f99b9fca5bae2fc26/v0/large/2_bhk_apartment-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,13.88888888888889
3.5 BHK Flat for rent in Vrindavan Yojana,,AKASH ENCLAVE,37000,2150.0,Fully furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/3a08b278b57cd2f7954bbad9e855350c/v0/large/3.5_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,17.209302325581394
2 BHK Independent House for rent in Gomti Nagar,,Not Found,18000,1250.0,Semi furnished,Lucknow,Gomti Nagar,https://housing-images.n7net.in/01c16c28/f4e6613c02b5a89f9256849917cf2ed6/v0/large/2_bhk_independent_house-for-rent-gomti_nagar_1-Lucknow-hall.jpg,26.8605833,81.0029055,14.4
2 BHK Flat for rent in Sushant Golf City,,Okas Residency,22000,1150.0,Semi furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/31a3eda7c78435a08783cd49e194d5c0/v0/large/2_bhk_apartment-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,19.130434782608695
2 BHK Flat for rent in Vrindavan Yojana,,Gold Star Homes Phase II,18000,1250.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/7e2b6048f6c3dbaa0b958d8887b903c3/v0/large/2_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,14.4
2 BHK Independent House for rent in Indira Nagar,,Not Found,13500,1000.0,Un-furnished,Lucknow,Indira Nagar,https://housing-images.n7net.in/01c16c28/008113df457b45ef8da0e30c3bc0bfef/v0/large/2_bhk_independent_house-for-rent-indira_nagar_5-Lucknow-hall.jpg,26.8823182,80.9900344,13.5
2 BHK Independent Builder Floor for rent in Gomti Nagar,,Not Found,30000,1250.0,Fully furnished,Lucknow,Gomti Nagar,https://housing-images.n7net.in/01c16c28/10f33eaa5f0a74f5b1135138b433275b/v0/large/2_bhk_independent_builder_floor-for-rent-gomti_nagar_1-Lucknow-hall.jpg,26.8605833,81.0029055,24.0
2 BHK Flat for rent in Vrindavan Yojana,,Eldeco Saubhagyam Phase 2,19000,1250.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/19fb60e8abecf6f1359945bd51ded7dd/v0/large/2_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,15.2
3 BHK Flat for rent in Gomti Nagar Extension,,Kalptaru Apartments,25000,1550.0,Semi furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/fdb91e07df659a0385c9fdb372657628/v0/large/3_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,16.129032258064516
