title,link,subtitle,price,area,property_details
3 BHK Independent House for rent in Krishna Nagar,https://housing.com/rent/16492507-1935-sqft-3-bhk-independent-house-on-rent-in-krishna-nagar-lucknow,Not Found,"₹25,000",1935 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Vrindavan Yojana,https://housing.com/rent/16492601-1560-sqft-2-bhk-independent-floor-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹16,000",1560 sq.ft,Semi furnished
2.5 BHK Independent Builder Floor for rent in Telibagh,https://housing.com/rent/16492655-1500-sqft-2.5-bhk-independent-floor-on-rent-in-telibagh-lucknow,Not Found,"₹18,000",1500 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in LDA Colony,https://housing.com/rent/16492711-1800-sqft-2-bhk-independent-floor-on-rent-in-lda-colony-lucknow,Not Found,"₹16,500",1800 sq.ft,Semi furnished
2.5 BHK Independent Builder Floor for rent in Sharda Nagar,https://housing.com/rent/16492813-1800-sqft-2.5-bhk-independent-floor-on-rent-in-sharda-nagar-lucknow,Not Found,"₹17,500",1800 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16493555-1655-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Azeagaia Azea Botanica,"₹35,000",1655 sq.ft,Semi furnished
4 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16493601-1935-sqft-4-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Ansal Sushant Golf City,"₹50,000",1935 sq.ft,Fully furnished
4 BHK Independent House for rent in Ashiyana,https://housing.com/rent/16141686-1935-sqft-4-bhk-independent-house-on-rent-in-ashiyana-lucknow,Not Found,"₹41,000",1935 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Ashiyana,https://housing.com/rent/16147820-1560-sqft-2-bhk-independent-floor-on-rent-in-ashiyana-lucknow,Not Found,"₹16,000",1560 sq.ft,Semi furnished
2.5 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16878080-2000-sqft-2.5-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Kalptaru Apartments,"₹21,000",2000 sq.ft,Semi furnished
2 BHK Flat for rent in Uattardhona,https://housing.com/rent/16878088-1450-sqft-2-bhk-apartment-on-rent-in-uattardhona-lucknow,Omega Green Park Villas,"₹15,000",1450 sq.ft,Semi furnished
2.5 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/16798802-1600-sqft-2.5-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Not Found,"₹16,000",1600 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16859353-1400-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Not Found,"₹31,000",1400 sq.ft,Fully furnished
2 BHK Flat for rent in Ahmamau,https://housing.com/rent/16859481-1050-sqft-2-bhk-apartment-on-rent-in-ahmamau-lucknow,Sapphire,"₹17,000",1050 sq.ft,Semi furnished
3 BHK Flat for rent in Indira Nagar,https://housing.com/rent/16850339-1750-sqft-3-bhk-apartment-on-rent-in-indira-nagar-lucknow,Surya Apartment,"₹19,200",1750 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16835914-1550-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹25,000",1550 sq.ft,Semi furnished
2 BHK Independent House for rent in Ashiyana,https://housing.com/rent/16836107-2152-sqft-2-bhk-independent-house-on-rent-in-ashiyana-lucknow,Not Found,"₹22,000",2152 sq.ft,Semi furnished
3 BHK Independent House for rent in Ashiyana,https://housing.com/rent/16836038-2152-sqft-3-bhk-independent-house-on-rent-in-ashiyana-lucknow,Not Found,"₹25,000",2152 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16826192-1095-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Casa Green Exotica,"₹15,500",1095 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Vrindavan Yojana,https://housing.com/rent/16634753-1400-sqft-2-bhk-independent-floor-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹12,000",1400 sq.ft,Un-furnished
3 BHK Independent Builder Floor for rent in Mahanagar,https://housing.com/rent/16528866-2200-sqft-3-bhk-independent-floor-on-rent-in-mahanagar-lucknow,Not Found,"₹40,000",2200 sq.ft,Semi furnished
3 BHK Independent House for rent in Indira Nagar,https://housing.com/rent/16537051-1250-sqft-3-bhk-independent-house-on-rent-in-indira-nagar-lucknow,Manas Mayur Vihar,"₹15,000",1250 sq.ft,Semi furnished
3 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/16542958-1600-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Okas Residency,"₹15,000",1600 sq.ft,Un-furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16534529-1875-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rohtas Plumeria Homes,"₹25,000",1875 sq.ft,Semi furnished
2 BHK Flat for rent in Indira Nagar,https://housing.com/rent/16550194-1300-sqft-2-bhk-apartment-on-rent-in-indira-nagar-lucknow,Indraprastha Anand,"₹30,000",1300 sq.ft,Fully furnished
3 BHK Flat for rent in Semra,https://housing.com/rent/16520541-1650-sqft-3-bhk-apartment-on-rent-in-semra-lucknow,Viraj BBD Green City Sunbreeze 1,"₹23,000",1650 sq.ft,Semi furnished
2 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16498854-1050-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹26,000",1050 sq.ft,Semi furnished
3 BHK Flat for rent in Anora Kala,https://housing.com/rent/16395692-1550-sqft-3-bhk-apartment-on-rent-in-anora-kala-lucknow,Ram Gold Line Residency,"₹20,000",1550 sq.ft,Semi furnished
3 BHK Flat for rent in Arjunganj,https://housing.com/rent/16403281-1700-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Omaxe Residency,"₹20,000",1700 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Ashiyana,https://housing.com/rent/16310334-1500-sqft-2-bhk-independent-floor-on-rent-in-ashiyana-lucknow,Not Found,"₹23,000",1500 sq.ft,Fully furnished
