title,link,subtitle,price,area,property_details,city,location,first_image_url
2.5 BHK Flat for rent in Sector 137,https://housing.com/rent/16719357-1070-sqft-2.5-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,24000,1070 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/76e44442c51c4e0a93364e639cfedd98/v0/large/2.5_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16719854-925-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,23500,925 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/1d76a1d0dc364de2b780f737bfb284c6/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16735926-925-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,30000,925 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/29ecb167ced144a9bb34881552c2cba8/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16719316-925-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,23000,925 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/11f0ffb3449d4d4e842b9fd1b6cd84a4/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16719451-960-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,38000,960 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/10fdbbb9ccf7ee845f8b7e9704113d38/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-hall.jpg
2 BHK Flat for rent in Sector 143,https://housing.com/rent/17125375-903-sqft-2-bhk-apartment-on-rent-in-sector-143-noida,Logix Blossom Greens,30000,903 sq.ft,Fully furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/e00c8cce873275e479d375f5cd0700be/v0/large/2_bhk_apartment-for-rent-sector_143-Noida-living_room.jpg
2 BHK Flat for rent in Sector 143,https://housing.com/rent/17125388-1040-sqft-2-bhk-apartment-on-rent-in-sector-143-noida,Logix Blossom Greens,36000,1040 sq.ft,Fully furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/fe592d68ed944d94665fdb4eb1518258/v0/large/2_bhk_apartment-for-rent-sector_143-Noida-living_room.jpg
2 BHK Flat for rent in Sector 143,https://housing.com/rent/17125314-1040-sqft-2-bhk-apartment-on-rent-in-sector-143-noida,Logix Blossom Greens by Logix Group,29000,1040 sq.ft,Fully furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/c6072de8575d0c16ca51a3ba6c88b09c/v0/large/2_bhk_apartment-for-rent-sector_143-Noida-living_room.jpg
3 BHK Flat for rent in Sector 94,https://housing.com/rent/16086908-2105-sqft-3-bhk-apartment-on-rent-in-sector-94-noida,Supertech Supernova,70000,2105 sq.ft,Semi furnished,Noida,Sector 94,https://housing-images.n7net.in/01c16c28/575d513c73eeab1d031da3f92674190a/v0/large/3_bhk_apartment-for-rent-sector_94_1-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/17085523-1040-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,35000,1040 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/4f2250e8/6e04b80b0e201f9bbd639437972cce65/v0/large.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/17005940-1758-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,38000,1758 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/6838c89dbe4f48118259e88c0c2ad1b3/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-bedroom_one.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16924718-825-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,23000,825 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/7f0c20d339cc247c14a590af54db5b7f/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/16875331-1654-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,38000,1654 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/f44f73da7c5844087c4bfe60670edf4e/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16738670-1131-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,30000,1131 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/554b4bc2a3dbfdb5b4254773ad4b029d/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3.5 BHK Flat for rent in Sector 78,https://housing.com/rent/16727525-3070-sqft-3.5-bhk-apartment-on-rent-in-sector-78-noida,Mahagun Mezzaria,100000,3070 sq.ft,Semi furnished,Noida,Sector 78,https://housing-images.n7net.in/01c16c28/651314f3322c5de4713aee59a784fe18/v0/large/3.5_bhk_apartment-for-rent-sector_78_noida-Noida-living_room.jpg
3 BHK Flat for rent in Sector 78,https://housing.com/rent/16727656-2500-sqft-3-bhk-apartment-on-rent-in-sector-78-noida,Mahagun Mezzaria,80000,2500 sq.ft,Semi furnished,Noida,Sector 78,https://housing-images.n7net.in/01c16c28/2f00eb791470eb1046aa7fa5394c9e2c/v0/large/3_bhk_apartment-for-rent-sector_78_noida-Noida-hall.jpg
3 BHK Flat for rent in Sector 78,https://housing.com/rent/16728545-3070-sqft-3-bhk-apartment-on-rent-in-sector-78-noida,Mahagun Mezzaria,95000,3070 sq.ft,Semi furnished,Noida,Sector 78,https://housing-images.n7net.in/01c16c28/2f00eb791470eb1046aa7fa5394c9e2c/v0/large/3_bhk_apartment-for-rent-sector_78_noida-Noida-hall.jpg
